"scenario","metric","before","after","deltaPercent","beforeP95","afterP95","n"
"five-worker-image-hit","readyWallMs","1020.0092079999997","1072.8761250000002","5.182984289294823","1177.3789999999997","1154.7307499999997","3"
"five-worker-image-hit","wallMs","3022.9237909999993","3074.3829590000005","1.7022978929607246","3179.5022499999995","3157.202625","3"
"five-worker-image-hit","nodeCpuMs","650.386","590.577","-9.19592365149311","739.744","736.468","3"
"five-worker-image-hit","nodeCpuDuringHoldMs","2.868","2.77","-3.4170153417015348","4.145","4.311","3"
"five-worker-image-hit","idleCpuOneCorePercent","0.14326470439478714","0.1383490582720949","-3.431163414225491","0.20698667414049185","0.21540580821360505","3"
"five-worker-image-hit","rssBeforeBytes","89866240","90161152","0.32816773017319","89964544","90308608","3"
"five-worker-image-hit","rssAtReadyBytes","128270336","129007616","0.574786051858478","128679936","130023424","3"
"five-worker-image-hit","rssAtHoldBytes","127139840","127860736","0.5670103092783485","127565824","127877120","3"
"five-worker-image-hit","rssAfterBytes","127156224","127877120","0.5669372503543268","127582208","127893504","3"
"five-worker-image-hit","workersAliveAtHold","0","0",,"0","0","3"
"five-worker-image-hit","workerTailMaxMs","6.273791999999958","12.639458999999988","101.46442534276039","17.330417000000125","13.767667000000074","3"
"five-worker-image-hit","gitCommandCount","40","30","-25","40","30","3"
"five-worker-image-hit","gitCommandWallMs","1966.5639999999999","2093.554","6.457455745147378","2066.183","2223.9120000000003","3"
