"scenario","metric","before p50","after p50","delta percent"
"unrelated-1000","reads.wallMs","0.4683329999988928","0.14325000000008004","-69.41278961755447"
"unrelated-1000","reads.cpuMs","0.399","0.146","-63.40852130325815"
"unrelated-1000","missing.wallMs","0.25575000000026193","0.011042000000088592","-95.68250244376256"
"unrelated-1000","missing.cpuMs","0.261","0.013","-95.01915708812261"
"unrelated-1000","queued.wallMs","0.01224999999976717","0.010500000000320142","-14.28571428147174"
"unrelated-1000","queued.cpuMs","0.015","0.013","-13.33333333333333"
"unrelated-1000","reconfigure.wallMs","0.20945799999935844","0.191541999999572","-8.553504759828368"
"unrelated-1000","reconfigure.cpuMs","0.211","0.193","-8.530805687203792"
"unrelated-1000","transitions.wallMs","440.72249999999985","180.90070800000012","-58.953602777257764"
"unrelated-1000","transitions.cpuMs","59.515","65.784","10.533478954885322"
"unrelated-1000","wake.wallMs","0.03349999999954889","0.02854100000058679","-14.802985071727992"
"unrelated-1000","wake.cpuMs","0.046","0.032","-30.434782608695656"
"unrelated-1000","deletePending.wallMs","0.02691699999923003","0.025125000000116415","-6.657502690362504"
"unrelated-1000","deletePending.cpuMs","0.031","0.028","-9.677419354838712"
"unrelated-1000","sqliteBytes","606208","671744","10.81081081081081"
"unrelated-10000","reads.wallMs","18.854666000002908","0.12241700000049605","-99.35073365924129"
"unrelated-10000","reads.cpuMs","2.099","0.125","-94.04478323010957"
"unrelated-10000","missing.wallMs","11.331125000000611","0.008583000000726315","-99.92425288750476"
"unrelated-10000","missing.cpuMs","2.011","0.011","-99.45300845350572"
"unrelated-10000","queued.wallMs","0.004499999999097781","0.006999999999607098","55.55555557801222"
"unrelated-10000","queued.cpuMs","0.006","0.009","49.99999999999998"
"unrelated-10000","reconfigure.wallMs","0.05274999999892316","0.12787500000013097","142.4170616165714"
"unrelated-10000","reconfigure.cpuMs","0.057","0.128","124.56140350877192"
"unrelated-10000","transitions.wallMs","850.1980000000003","171.72220799999923","-79.80209221851861"
"unrelated-10000","transitions.cpuMs","57.291","60.304","5.259115742437737"
"unrelated-10000","wake.wallMs","0.022207999998499872","0.013792000001558335","-37.89625359109343"
"unrelated-10000","wake.cpuMs","0.025","0.015","-40"
"unrelated-10000","deletePending.wallMs","0.01525000000037835","0.0137910000012198","-9.567213108999029"
"unrelated-10000","deletePending.cpuMs","0.021","0.016","-23.809523809523814"
"unrelated-10000","sqliteBytes","3616768","4202496","16.194790486976206"
"unrelated-100000","reads.wallMs","113.13595800000621","0.12375000000247383","-99.8906183302019"
"unrelated-100000","reads.cpuMs","41.992","0.126","-99.69994284625643"
"unrelated-100000","missing.wallMs","135.9422909999994","0.007917000002635177","-99.99417620525269"
"unrelated-100000","missing.cpuMs","40.144","0.01","-99.97508967716222"
"unrelated-100000","queued.wallMs","0.011166999996930826","0.009833000000071479","-11.94591203748534"
"unrelated-100000","queued.cpuMs","0.014","0.012","-14.28571428571429"
"unrelated-100000","reconfigure.wallMs","0.10483300000487361","0.05116700000144192","-51.191895682596886"
"unrelated-100000","reconfigure.cpuMs","0.106","0.054","-49.056603773584904"
"unrelated-100000","transitions.wallMs","225.33629199999996","120.70295899999837","-46.434301404055056"
"unrelated-100000","transitions.cpuMs","59.879","64.61","7.900933549324485"
"unrelated-100000","wake.wallMs","0.020709000003989786","0.02808300000106101","35.60770677314478"
"unrelated-100000","wake.cpuMs","0.023","0.031","34.78260869565217"
"unrelated-100000","deletePending.wallMs","0.023332999997364823","0.02295800000138115","-1.607165799622956"
"unrelated-100000","deletePending.cpuMs","0.025","0.025","0"
"unrelated-100000","sqliteBytes","33890304","40169472","18.527918781725884"
"own-100000","reads.wallMs","2330.0004999999946","3497.7473339999997","50.117879116335295"
"own-100000","reads.cpuMs","1236.153","1326.828","7.335257043424237"
"own-100000","missing.wallMs","132.36841700000514","0.007917000002635177","-99.99401896601768"
"own-100000","missing.cpuMs","39.676","0.01","-99.97479584635548"
"own-100000","queued.wallMs","0.010209000000031665","0.00979199999710545","-4.084631236408287"
"own-100000","queued.cpuMs","0.012","0.012","0"
"own-100000","reconfigure.wallMs","0.11279199999989942","0.12362499999289867","9.604404561501623"
"own-100000","reconfigure.cpuMs","0.115","0.127","10.43478260869566"
"own-100000","transitions.wallMs","243.4297080000033","103.87374999999884","-57.329057799306305"
"own-100000","transitions.cpuMs","64.012","71.293","11.374429794413565"
"own-100000","wake.wallMs","0.020833000002312474","0.028165999996417668","35.19896315120832"
"own-100000","wake.cpuMs","0.023","0.03","30.434782608695656"
"own-100000","deletePending.wallMs","0.021832999998878222","0.03166699999565026","45.041909024308644"
"own-100000","deletePending.cpuMs","0.024","0.034","41.66666666666667"
"own-100000","sqliteBytes","34222080","39092224","14.230999401555945"
