"scenario","metric","before","after","deltaPercent","beforeP95","afterP95","n"
"five-worker-image-hit","readyWallMs","3688.837707999999","4522.517375000001","22.600063569942286","8918.03375","5130.907125","3"
"five-worker-image-hit","wallMs","6262.010708","6535.059209000001","4.36039658397851","12231.547542","7136.871624999998","3"
"five-worker-image-hit","nodeCpuMs","712.112","700.859","-1.5802289527489966","780.73","718.185","3"
"five-worker-image-hit","nodeCpuDuringHoldMs","1.823","3.575","96.10532089961603","2.509","3.736","3"
"five-worker-image-hit","idleCpuOneCorePercent","0.09066229541849138","0.1782560635887995","96.61543176905114","0.12530127784585357","0.1859900868239562","3"
"five-worker-image-hit","rssBeforeBytes","89554944","89784320","0.25612879619465456","89751552","90226688","3"
"five-worker-image-hit","rssAtReadyBytes","132546560","125583360","-5.253399258343638","132726784","126320640","3"
"five-worker-image-hit","rssAtHoldBytes","132595712","124452864","-6.14110960088966","132726784","125190144","3"
"five-worker-image-hit","rssAfterBytes","127877120","124485632","-2.652146060217808","127926272","125206528","3"
"five-worker-image-hit","workersAliveAtHold","5","0","-100","5","0","3"
"five-worker-image-hit","workerTailMaxMs","3325.8097499999985","77.16679199999999","-97.67975928268297","4171.297125000001","83.04437500000131","3"
"five-worker-image-hit","gitCommandCount","60","40","-33.333333333333336","60","40","3"
"five-worker-image-hit","gitCommandWallMs","6460.602999999999","7203.802999999999","11.5035701775825","29001.495000000003","9825.498","3"
