"scenario","metric","before","after","deltaPercent","beforeP95","afterP95","n"
"worker-image-hit","wallMs","4914.798875000002","4555.723792000001","-7.305997501271122","5466.724833","4947.2303329999995","5"
"worker-image-hit","nodeCpuMs","141.426","135.111","-4.465232701200628","163.716","144.27","5"
"worker-image-hit","rssBeforeBytes","89800704","89686016","-0.12771392081737387","94994432","95862784","5"
"worker-image-hit","rssAfterBytes","89800704","89686016","-0.12771392081737387","94633984","95518720","5"
"worker-image-hit","gitCommandCount","12","8","-33.333333333333336","12","8","5"
"worker-image-hit","gitCommandWallMs","1141.4339999999997","947.899","-16.95542624453098","1407.954","1311.09","5"
"worker-image-hit","readyWallMs","2375.851917","2532.114708000001","6.577126709029701","2972.9272079999973","2931.819582999997","5"
"worker-image-hit","workerAliveAtHold","1","0","-100","1","0","5"
"worker-image-hit","rssAtReadyBytes","90898432","90800128","-0.10814708002884199","95256576","96468992","5"
"worker-image-hit","rssAtHoldBytes","90914816","89686016","-1.351594881960716","95272960","95485952","5"
"worker-image-hit","workerTailMs","2421.0229580000014","2.6130840000005264","-99.89206694668607","2670.7034580000036","6.500332999999955","5"
"worker-image-hit","logicalCellBytes","135970","135970","0","135970","135970","5"
