scenario,metric,unit,before,after,deltaPercent,beforeP95,afterP95,n
core-10x1,view.all.wall,ms,0.234958000000006,0.28408300000000963,20.907992066668246,2.7550840000000107,0.5555840000000671,30
core-10x1,view.all.cpu,ms,0.195,0.192,-1.538461538461544,0.376,0.373,30
core-10x1,view.active.wall,ms,0.13862499999981992,0.03749999999990905,-72.94860234448493,0.2847079999999096,0.10183299999994233,30
core-10x1,view.active.cpu,ms,0.156,0.039,-75,0.632,0.563,30
core-10x1,view.one.wall,ms,0.13199999999983447,0.14249999999992724,7.9545454546257055,0.8126250000000255,1.1599579999999605,30
core-10x1,view.one.cpu,ms,0.136,0.146,7.352941176470584,0.272,0.257,30
core-10x1,core.quietStep.wall,ms,0.39083300000015697,0.4346250000000964,11.204785675703398,0.7805419999999685,0.8101670000000922,30
core-10x1,core.quietStep.cpu,ms,0.431,0.482,11.832946635730845,1.426,1.433,30
core-1000x1,view.all.wall,ms,23.45141700000022,25.021792000000005,6.696290462959098,28.18958300000031,30.882000000000062,30
core-1000x1,view.all.cpu,ms,20.917,21.8,4.221446670172591,32.298,27.85,30
core-1000x1,view.active.wall,ms,24.13104100000055,3.6521249999996144,-84.86544778569838,35.0946670000003,5.285042000000431,30
core-1000x1,view.active.cpu,ms,20.334,3.299,-83.77594177240091,23.249,3.683,30
core-1000x1,view.one.wall,ms,0.15375000000040018,0.14699999999993452,-4.390243902730462,0.42237499999919237,0.36587499999950523,30
core-1000x1,view.one.cpu,ms,0.155,0.149,-3.8709677419354827,0.27,0.222,30
core-1000x1,core.quietStep.wall,ms,25.67645900000025,26.293040999999903,2.4013513701388822,32.79774999999972,36.45558400000027,30
core-1000x1,core.quietStep.cpu,ms,23.06,23.111,0.22116218560277456,27.569,28.13,30
core-1000x20,view.all.wall,ms,86.27745799999684,35.04008299999987,-59.38674618809336,142.97616700000071,51.78120900000067,30
core-1000x20,view.all.cpu,ms,73.39,30.63,-58.26406867420631,83.064,33.857,30
core-1000x20,view.active.wall,ms,84.50937500000146,11.363333999994211,-86.55375927227718,103.25654200000281,16.722583000002487,30
core-1000x20,view.active.cpu,ms,71.748,9.67,-86.52227239783687,80.657,14.293,30
core-1000x20,view.one.wall,ms,0.07016699999803677,0.0731660000019474,4.2740889648902325,0.18320800000219606,0.201416000003519,30
core-1000x20,view.one.cpu,ms,0.071,0.074,4.225352112676051,0.187,0.166,30
core-1000x20,core.quietStep.wall,ms,87.76600000000326,38.4890000000014,-56.14588792926649,110.50445800000307,48.42345799999748,30
core-1000x20,core.quietStep.cpu,ms,76.423,31.535,-58.73624432435262,81.341,61.117,30
core-100x200,view.all.wall,ms,378.19262499999604,3.415499999988242,-99.0968887878265,437.46662500000093,5.661291999989771,30
core-100x200,view.all.cpu,ms,328.69,2.914,-99.11345036356445,342.005,4.383,30
core-100x200,view.active.wall,ms,367.48174999999173,1.1731250000011642,-99.68076645983068,441.9083329999994,1.7735420000099111,30
core-100x200,view.active.cpu,ms,316.076,1.024,-99.67602728457713,334.448,1.434,30
core-100x200,view.one.wall,ms,0.06600000000617001,0.06129099999088794,-7.134848507336134,0.2843339999963064,0.2102500000037253,30
core-100x200,view.one.cpu,ms,0.068,0.063,-7.352941176470596,0.25,0.214,30
core-100x200,core.quietStep.wall,ms,366.97420900000725,4.792249999998603,-98.69411803814297,411.9645840000012,6.061000000001513,30
core-100x200,core.quietStep.cpu,ms,318.853,4.174,-98.69093281229908,336.033,4.762,30
