scenario,metric,unit,before,after,deltaPercent,beforeP95,afterP95,n
daemon-0,daemon.startToHello,ms,57.37925000000007,55.542958,-3.2002718752860426,57.37925000000007,55.542958,1
daemon-0,rpc.health.wall,ms,0.24291699999980665,0.2980000000000018,22.675646414305707,0.3998750000000655,1.3586669999999685,15
daemon-0,rpc.list.wall,ms,0.14929099999994833,0.07799999999997453,-47.7530460643967,0.32566700000006676,1.9004999999999654,15
daemon-0,rpc.snapshot.wall,ms,0.0730829999999969,0.18499999999994543,153.1368444097167,0.16054099999996652,1.588583999999969,15
daemon-0,idle.cpuOneCore,percent,0.7988931042405975,0.8679860048608123,8.648578921693462,1.0881091720876241,1.2024711931831067,3
daemon-0,idle.eventLoopUtilization,percent,1.0739296028213365,1.336080236329603,24.410411336047222,1.4607754473316246,1.521007097898423,3
daemon-0,idle.eventLoopDelayP99,ms,23.330815,24.313855,4.2134833266647576,24.543231,24.461311,3
daemon-0,idle.rss,bytes,108773376,108249088,-0.482000301250185,109051904,108560384,3
daemon-0,idle.heapUsed,bytes,14910208,14222512,-4.61224954071734,15048480,14383280,3
daemon-0,stub.spawnToIdle,ms,912.803249999999,908.9616659999992,-0.42085564441184387,912.803249999999,908.9616659999992,1
daemon-0,stub.sendToDelivered,ms,206.73304200000166,208.00183300000026,0.61373401548388,213.4095410000009,208.98825000000033,5
daemon-0,storage.open,bytes,832340,832316,-0.0028834370569663648,832340,832316,1
daemon-0,daemon.shutdown,ms,16.617458999999144,19.494709000000512,17.31462072511516,16.617458999999144,19.494709000000512,1
daemon-1000,daemon.startToHello,ms,355.19666600000005,330.31229200000007,-7.005801681708346,355.19666600000005,330.31229200000007,1
daemon-1000,rpc.health.wall,ms,19.467792000000372,17.576332999999977,-9.71583731735145,55.83374999999978,46.82749999999987,15
daemon-1000,rpc.list.wall,ms,77.8972920000001,83.00729199999978,6.559919952030757,184.34079099999963,109.21374999999989,15
daemon-1000,rpc.snapshot.wall,ms,77.86537500000031,78.78258300000016,1.1779407727758873,135.4027500000002,104.47733299999982,15
daemon-1000,idle.cpuOneCore,percent,9.692244330524884,11.494943365920534,18.59939735235734,10.194012202785785,11.94018874648962,3
daemon-1000,idle.eventLoopUtilization,percent,15.570607040013352,13.128511201571483,-15.68401175475157,22.830260455007583,13.685569892503215,3
daemon-1000,idle.eventLoopDelayP99,ms,55.017471,47.448063,-13.758189648520924,87.162879,47.611903,3
daemon-1000,idle.rss,bytes,228048896,241582080,5.934334363100802,236470272,243236864,3
daemon-1000,idle.heapUsed,bytes,62148672,65679552,5.681344244974373,67715448,116990712,3
daemon-1000,stub.spawnToIdle,ms,890.0482919999995,1224.054,37.52669501218489,890.0482919999995,1224.054,1
daemon-1000,stub.sendToDelivered,ms,253.848833,255.98016700000153,0.8396075628212651,269.7307499999988,269.3992920000019,5
daemon-1000,storage.open,bytes,2192412,2192388,-0.001094684758151665,2192412,2192388,1
daemon-1000,daemon.shutdown,ms,16.02600000000166,19.91137499999968,24.244196929973903,16.02600000000166,19.91137499999968,1
daemon-100x200,daemon.startToHello,ms,90.84712500000023,121.45195800000147,33.68827907322456,90.84712500000023,121.45195800000147,1
daemon-100x200,rpc.health.wall,ms,1.4455000000016298,2.6182909999988624,81.13393289490904,4.753124999999272,10.792208999999275,15
daemon-100x200,rpc.list.wall,ms,714.9310830000031,7.4537079999972775,-98.95742286533131,1003.4403330000023,25.31354199999987,15
daemon-100x200,rpc.snapshot.wall,ms,729.1649580000012,6.834083000001556,-99.06275213516204,810.333666999999,15.440583999999944,15
daemon-100x200,idle.cpuOneCore,percent,48.84960029728407,2.7833314060059653,-94.30224323419753,51.50613702461704,3.232313299512373,3
daemon-100x200,idle.eventLoopUtilization,percent,67.72913331644482,3.5426137623836627,-94.76943880880356,67.81928170584638,4.029063626303803,3
daemon-100x200,idle.eventLoopDelayP99,ms,460.587007,27.033599,-94.13062058001128,563.085311,28.966911,3
daemon-100x200,idle.rss,bytes,135593984,135446528,-0.10874818753020543,135708672,135462912,3
daemon-100x200,idle.heapUsed,bytes,14570696,15284832,4.901179737742112,17129432,16074904,3
daemon-100x200,stub.spawnToIdle,ms,1865.217165999995,1003.9541250000002,-46.174947169663625,1865.217165999995,1003.9541250000002,1
daemon-100x200,stub.sendToDelivered,ms,931.0908750000017,218.4197920000006,-76.54151728208053,982.2708340000027,222.6976250000007,5
daemon-100x200,storage.open,bytes,20432940,20427676,-0.02576232299414949,20432940,20427676,1
daemon-100x200,daemon.shutdown,ms,9.339417000002868,8.909708999999566,-4.601015245418106,9.339417000002868,8.909708999999566,1
