scenario,metric,unit,before,after,deltaPercent,beforeP95,afterP95,n
core-10x1,view.all.wall,ms,0.41904200000010405,0.43287499999996726,3.301101082912883,5.487458999999944,3.1252909999999474,15
core-10x1,view.all.cpu,ms,0.436,0.378,-13.30275229357798,0.841,0.844,15
core-10x1,view.active.wall,ms,0.4047080000000278,0.20687499999996817,-48.88289828717151,8.960417000000007,3.140333000000055,15
core-10x1,view.active.cpu,ms,0.345,0.161,-53.33333333333332,0.498,0.413,15
core-10x1,view.one.wall,ms,0.28970800000001873,0.14949999999998909,-48.3963162908931,8.29083300000002,2.442292000000066,15
core-10x1,view.one.cpu,ms,0.248,0.118,-52.41935483870967,0.414,0.431,15
core-10x1,audit.tail.wall,ms,0.8594170000000076,0.40245900000002166,-53.17069594853046,7.834458000000041,2.8519999999999754,15
core-10x1,audit.tail.cpu,ms,0.633,0.383,-39.494470774091624,1.008,0.989,15
core-10x1,mail.pending.wall,ms,0.00333299999999781,0.0018750000000409273,-43.74437443617884,0.14616699999999128,0.023375000000100954,15
core-10x1,mail.pending.cpu,ms,0.006,0.003,-50,0.027,0.033,15
core-10x1,core.quietStep.wall,ms,2.3356670000000577,1.2803329999999278,-45.18341013509648,7.903167000000053,3.5600409999999556,15
core-10x1,core.quietStep.cpu,ms,0.868,0.889,2.4193548387096753,3.473,3.066,15
core-10x1,storage.open,bytes,626248,626248,0,626248,626248,1
core-10x1,store.reopen.wall,ms,4.533374999999978,3.7946670000001177,-16.29487964264734,6.8745420000000195,8.780999999999949,15
core-10x1,store.reopen.cpu,ms,3.412,3.342,-2.05158264947245,4.432,5.266,15
core-10x1,storage.closed,bytes,278528,278528,0,278528,278528,1
core-1000x1,view.all.wall,ms,49.45341699999972,25.811374999999998,-47.806690486119194,64.7392090000003,35.082332999999835,15
core-1000x1,view.all.cpu,ms,24.501,19.655,-19.77878453940656,31.316,28.291,15
core-1000x1,view.active.wall,ms,43.20966699999963,22.918083999999908,-46.96074838993759,73.62900000000036,35.281332999999904,15
core-1000x1,view.active.cpu,ms,17.014,17.138,0.7288115669448869,24.133,31.192,15
core-1000x1,view.one.wall,ms,0.08408300000019153,0.17770799999971132,111.34831059703689,2.465332999999646,1.4096669999998994,15
core-1000x1,view.one.cpu,ms,0.107,0.182,70.09345794392523,0.33,0.593,15
core-1000x1,audit.tail.wall,ms,0.5854170000002341,0.6125420000003032,4.633449319042371,1.212582999999995,1.4596670000000813,15
core-1000x1,audit.tail.cpu,ms,0.505,0.661,30.891089108910897,1.006,1.075,15
core-1000x1,mail.pending.wall,ms,0.004416999999648397,0.0025000000000545697,-43.400498069876036,0.01908400000002075,0.014874999999847205,15
core-1000x1,mail.pending.cpu,ms,0.007,0.004,-42.85714285714286,0.032,0.036,15
core-1000x1,core.quietStep.wall,ms,38.48775000000023,27.65099999999984,-28.15636143967971,51.36724999999933,36.0555830000003,15
core-1000x1,core.quietStep.cpu,ms,23.137,20.382,-11.907334572330031,28.189,23.7,15
core-1000x1,storage.open,bytes,1981728,1981728,0,1981728,1981728,1
core-1000x1,store.reopen.wall,ms,5.542750000000524,5.559499999999844,0.30219656306558207,10.188666999999441,10.021042000000307,15
