scenario,metric,unit,beforeN,afterN,beforeP50,afterP50,deltaPercent,beforeP95,afterP95
daemon-0,daemon.startToHello,ms,1,1,4.475291999999996,5.193833000000012,16.055734463807436,4.475291999999996,5.193833000000012
daemon-0,rpc.health.wall,ms,15,15,0.030292000000002872,0.028209000000003925,-6.876403010691767,0.057999999999992724,0.06158299999999883
daemon-0,rpc.list.wall,ms,15,15,0.012792000000004577,0.012500000000002842,-2.282676672933326,0.015000000000000568,0.015584000000004039
daemon-0,rpc.snapshot.wall,ms,15,15,0.02216699999999605,0.02200000000000557,-0.7533721296996032,0.03537500000000193,0.03587500000000432
daemon-0,idle.cpuOneCore,percent,3,3,0.43982316207395716,0.420181674690348,-4.465769217562576,0.6007082968325389,0.598831769385495
daemon-0,idle.eventLoopUtilization,percent,3,3,0.49287279795158356,0.4369609957009582,-11.344063312684128,0.5684428529165403,0.5697052898723698
daemon-0,idle.eventLoopDelayP99,ms,3,3,22.315007,22.331391,0.0734214423504298,22.380543,22.429695
daemon-0,idle.rss,bytes,3,3,132726784,130367488,-1.7775583261325778,133005312,131350528
daemon-0,idle.heapUsed,bytes,3,3,15002800,15080288,0.5164902551523687,15251856,15329088
daemon-0,stub.spawnToIdle,ms,1,1,353.4143750000003,363.3694169999999,2.816818642422114,353.4143750000003,363.3694169999999
daemon-0,stub.sendToDelivered,ms,5,5,203.4057499999999,199.99995800000033,-1.6743833446200784,207.5458749999998,213.56304199999977
daemon-0,storage.open,bytes,1,1,854242,883037,3.370824660927463,854242,883037
daemon-0,daemon.shutdown,ms,1,1,6.776541999999608,7.332416000001103,8.202915292217284,6.776541999999608,7.332416000001103
daemon-1000,daemon.startToHello,ms,1,1,29.112124999999992,29.766125000000017,2.2464866443106635,29.112124999999992,29.766125000000017
daemon-1000,rpc.health.wall,ms,15,15,1.8671659999999974,1.8870000000000005,1.062251561993044,3.1334579999999903,3.001125000000002
daemon-1000,rpc.list.wall,ms,15,15,9.393957999999998,9.551249999999982,1.6743953932941258,14.615666000000033,11.188166999999964
daemon-1000,rpc.snapshot.wall,ms,15,15,9.297792000000015,9.384250000000009,0.929876684700992,11.220292000000086,9.801290999999992
daemon-1000,idle.cpuOneCore,percent,3,3,9.715263700811935,0.4670550795838327,-95.19256405212347,9.887633762011866,0.5159647630994878
daemon-1000,idle.eventLoopUtilization,percent,3,3,9.570376405460825,0.47854716924317986,-94.99970378416755,9.622180167434776,0.4873470682065227
daemon-1000,idle.eventLoopDelayP99,ms,3,3,34.504703,22.642687,-34.37796870762806,34.766847,22.773759
daemon-1000,idle.rss,bytes,3,3,249757696,205045760,-17.902125426397276,254246912,205766656
daemon-1000,idle.heapUsed,bytes,3,3,58284984,68867904,18.157198087246627,59995112,69113568
daemon-1000,stub.spawnToIdle,ms,1,1,320.8965840000001,385.8989160000001,20.256473655699626,320.8965840000001,385.8989160000001
daemon-1000,stub.sendToDelivered,ms,5,5,229.20637500000157,232.45650000000023,1.417990664526081,235.90370900000016,236.42191700000149
daemon-1000,storage.open,bytes,1,1,2214314,2243109,1.3004027432423682,2214314,2243109
daemon-1000,daemon.shutdown,ms,1,1,2.582290999998804,2.652874999999767,2.7333867484724106,2.582290999998804,2.652874999999767
daemon-100x200,daemon.startToHello,ms,1,1,8.241582999999991,7.460207999999966,-9.48088492222946,8.241582999999991,7.460207999999966
daemon-100x200,rpc.health.wall,ms,15,15,0.2117080000000442,0.22000000000002728,3.916715476024213,0.3125,0.31045800000015333
daemon-100x200,rpc.list.wall,ms,15,15,0.74675000000002,0.7728329999999914,3.492869099426943,0.8699169999999867,0.8907079999999041
daemon-100x200,rpc.snapshot.wall,ms,15,15,0.709374999999909,0.7485420000000431,5.5213392070680545,0.7728340000001026,0.8032080000000406
daemon-100x200,idle.cpuOneCore,percent,3,3,2.2510918523864953,0.47088510128665617,-79.08192414327975,2.372733521080547,0.5935253403304743
daemon-100x200,idle.eventLoopUtilization,percent,3,3,2.1187557000071675,0.4805397785360735,-77.31971748633183,2.130381283208246,0.554509593241492
daemon-100x200,idle.eventLoopDelayP99,ms,3,3,24.084479,22.331391,-7.278911866850024,24.395775,22.659071
daemon-100x200,idle.rss,bytes,3,3,149602304,145784832,-2.5517467966268748,151306240,146604032
daemon-100x200,idle.heapUsed,bytes,3,3,22173864,16708968,-24.64566392217432,23100040,16953912
daemon-100x200,stub.spawnToIdle,ms,1,1,372.6724580000009,312.5717079999995,-16.126963157551423,372.6724580000009,312.5717079999995
daemon-100x200,stub.sendToDelivered,ms,5,5,211.88100000000122,209.59387499999866,-1.0794384583811434,222.77491700000246,213.68487500000265
daemon-100x200,storage.open,bytes,1,1,20449602,20478397,0.14080958641640162,20449602,20478397
daemon-100x200,daemon.shutdown,ms,1,1,5.4050829999978305,3.9224170000015874,-27.430957119378895,5.4050829999978305,3.9224170000015874
