scenario,metric,unit,before,after,deltaPercent,beforeP95,afterP95,n
core-10x1,view.all.wall,ms,0.03291699999999764,0.03324999999999534,1.0116353252049626,0.03929100000000574,0.04025000000000034,30
core-10x1,view.all.cpu,ms,0.033,0.034,3.0303030303030276,0.04,0.044,30
core-10x1,view.active.wall,ms,0.006499999999988404,0.006709000000000742,3.2153846155801746,0.007334000000000174,0.008040999999991527,30
core-10x1,view.active.cpu,ms,0.007,0.007,0,0.016,0.011,30
core-10x1,view.one.wall,ms,0.013374999999996362,0.01404199999998923,4.986915887798493,0.01695800000000247,0.015749999999997044,30
core-10x1,view.one.cpu,ms,0.014,0.015,7.14285714285714,0.018,0.017,30
core-10x1,core.quietStep.wall,ms,0.06337500000000773,0.02512500000000273,-60.35502958579934,0.0885420000000181,0.03820800000002578,30
core-10x1,core.quietStep.cpu,ms,0.064,0.026,-59.375,0.315,0.129,30
core-1000x1,view.all.wall,ms,2.9677089999999566,2.965499999999963,-0.0744345217133291,3.171666000000016,3.150291999999979,30
core-1000x1,view.all.cpu,ms,2.971,2.968,-0.10097610232245868,3.467,3.996,30
core-1000x1,view.active.wall,ms,0.3882920000000354,0.386333000000036,-0.5045172189999225,0.4075409999999806,0.40454100000005155,30
core-1000x1,view.active.cpu,ms,0.389,0.387,-0.5141388174807249,0.409,0.406,30
core-1000x1,view.one.wall,ms,0.012624999999957254,0.012666000000024269,0.3247524757794329,0.016458000000000084,0.015667000000007647,30
core-1000x1,view.one.cpu,ms,0.013,0.013,0,0.017,0.016,30
core-1000x1,core.quietStep.wall,ms,2.9993749999999864,0.02387500000008913,-99.204000833504,3.205583000000047,0.03391599999997652,30
core-1000x1,core.quietStep.cpu,ms,3.047,0.024,-99.21234000656384,3.595,0.038,30
core-1000x20,view.all.wall,ms,4.062333000000308,4.044583999999759,-0.43691642217779103,4.628083000000061,4.286542000000281,30
core-1000x20,view.all.cpu,ms,4.062,4.045,-0.41851304775972764,6.005,5.089,30
core-1000x20,view.active.wall,ms,1.2232080000003407,1.2499170000000959,2.1835207094580644,1.3343329999997877,1.3518330000001697,30
core-1000x20,view.active.cpu,ms,1.231,1.256,2.0308692120227345,3.647,2.761,30
core-1000x20,view.one.wall,ms,0.014083000000027823,0.014125000000149157,0.2982319116754395,0.015625,0.017542000000048574,30
core-1000x20,view.one.cpu,ms,0.014,0.015,7.14285714285714,0.016,0.017,30
core-1000x20,core.quietStep.wall,ms,4.07950000000028,0.04579199999989214,-98.8775094987158,4.316041999999925,0.055332999999791355,30
core-1000x20,core.quietStep.cpu,ms,4.134,0.046,-98.88727624576681,6.727,0.065,30
core-100x200,view.all.wall,ms,0.4192910000001575,0.4180420000002414,-0.2978838085996749,0.42762500000026193,0.42620800000076997,30
core-100x200,view.all.cpu,ms,0.42,0.419,-0.23809523809523725,0.431,0.427,30
core-100x200,view.active.wall,ms,0.13154200000008132,0.13183399999979883,0.2219823324241199,0.15708300000005693,0.14604099999996834,30
core-100x200,view.active.cpu,ms,0.131,0.133,1.526717557251911,0.157,0.146,30
core-100x200,view.one.wall,ms,0.013874999999643478,0.014250000000174623,2.702702706600224,0.023250000000189175,0.018417000000226835,30
core-100x200,view.one.cpu,ms,0.015,0.015,0,0.037,0.019,30
core-100x200,core.quietStep.wall,ms,0.4205419999998412,0.023541999999906693,-94.40198600855192,0.4612910000005286,0.029832999999598542,30
core-100x200,core.quietStep.cpu,ms,0.42,0.024,-94.28571428571428,0.462,0.03,30
