directory	direct_tracked_files	inspection	inventory_ids
.	8	AGENTS/package/export/build metadata inspected; lockfile and scratch not exhaustively read	P01,L01,X17
.agents/skills/honeybee-core-work	1	Mandatory SKILL read completely; companion metadata inventoried	K1-K8
.agents/skills/honeybee-core-work/agents	1	Mandatory SKILL read completely; companion metadata inventoried	K1-K8
.claude	1	Inventory only; CLAUDE ignored per user instruction	Excluded instruction source
.claude/skills	1	Inventory only; CLAUDE ignored per user instruction	Excluded instruction source
contracts	1	Shipped corpus paths inventoried; loader/export inspected, corpus not exhaustively read	X17,X20,P01
contracts/combs/v1	1	Shipped corpus paths inventoried; loader/export inspected, corpus not exhaustively read	X17,X20,P01
contracts/execution/v1	4	Shipped corpus paths inventoried; loader/export inspected, corpus not exhaustively read	X17,X20,P01
contracts/execution/v1/fixtures/entities	3	Shipped corpus paths inventoried; loader/export inspected, corpus not exhaustively read	X17,X20,P01
contracts/execution/v1/fixtures/errors	1	Shipped corpus paths inventoried; loader/export inspected, corpus not exhaustively read	X17,X20,P01
contracts/execution/v1/fixtures/events	3	Shipped corpus paths inventoried; loader/export inspected, corpus not exhaustively read	X17,X20,P01
contracts/execution/v1/fixtures/invalid	8	Shipped corpus paths inventoried; loader/export inspected, corpus not exhaustively read	X17,X20,P01
contracts/execution/v1/fixtures/negotiation	4	Shipped corpus paths inventoried; loader/export inspected, corpus not exhaustively read	X17,X20,P01
contracts/execution/v1/fixtures/requests	12	Shipped corpus paths inventoried; loader/export inspected, corpus not exhaustively read	X17,X20,P01
contracts/execution/v1/fixtures/responses	9	Shipped corpus paths inventoried; loader/export inspected, corpus not exhaustively read	X17,X20,P01
contracts/execution/v1/fixtures/transitions	7	Shipped corpus paths inventoried; loader/export inspected, corpus not exhaustively read	X17,X20,P01
contracts/execution/v1/schemas	39	Shipped corpus paths inventoried; loader/export inspected, corpus not exhaustively read	X17,X20,P01
docs	36	Paths inventoried; contents not comprehensively inspected	Context only
docs/adr	2	Paths inventoried; contents not comprehensively inspected	Context only
docs/incidents	4	Paths inventoried; contents not comprehensively inspected	Context only
docs/missions	1	Paths inventoried; contents not comprehensively inspected	Context only
docs/performance	38	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06	5	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-cell-git	3	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-cell-git/evidence	25	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-cell-git/evidence/native/after	4	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-cell-git/evidence/native/before	4	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-cell-git/evidence/native/reconfigure-after	3	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-cell-git/evidence/native/reconfigure-allocations-after	3	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-cell-git/evidence/native/reconfigure-allocations-before	3	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-cell-git/evidence/native/reconfigure-before	3	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-cell-git/evidence/verification	20	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
docs/performance/2026-09-06-cell-git/evidence/verification/4a3d43484886123ca035992ac99111532c12c330	7	Required September reports/guides read; raw artifacts enumerated, not recaptured/recomputed	B0-B3
